Id,Word,NormalizedWord,Category,Severity
1,sik,sik,obscene,3
2,sox,sox,obscene,3
3,göt,got,obscene,3
4,oğraş,ogras,obscene,3
5,qəhbə,qehbe,obscene,3
6,yavşaq,yavsaq,obscene,3
7,dəyyus,deyus,obscene,3
8,orospu,orospu,obscene,3
9,pezevəng,pezeveng,obscene,3
10,peşi,pesi,obscene,3
11,blet,blet,obscene,2
12,blin,blin,obscene,1
13,tfu,tfu,obscene,1
14,boşal,bosal,sexual_explicit,2
15,porno,porno,sexual_explicit,2
16,seks,seks,sexual_explicit,1
17,şərəfsiz,serefsiz,insult,3
18,əclaf,eclaf,insult,3
19,bicbala,bicbala,insult,3
20,pedofil,pedofil,insult,3
21,alçaq,alcaq,insult,2
22,eşşək,esek,insult,2
23,köpək,kopek,insult,2
24,tula,tula,insult,2
25,çaqqal,caqal,insult,2
26,zibil,zibil,insult,2
27,gic,gic,insult,2
28,axmaq,axmaq,insult,2
29,mundar,mundar,insult,2
30,murdar,murdar,insult,2
31,cındır,cindir,insult,2
32,vicdansız,vicdansiz,insult,2
33,qeyrətsiz,qeyretsiz,insult,2
34,qansız,qansiz,insult,2
35,səviyyəsiz,seviyesiz,insult,2
36,beyinsiz,beyinsiz,insult,2
37,zəlil,zelil,insult,2
38,iyrənc,iyrenc,insult,2
39,utanmaz,utanmaz,insult,2
40,sırtıq,sirtiq,insult,2
41,kaftar,kaftar,insult,2
42,avam,avam,insult,2
43,narkoman,narkoman,insult,2
44,manyak,manyak,insult,2
45,şizofren,sizofren,insult,2
46,bədbəxt,bedbext,insult,2
47,tüpürüm,tupurum,insult,2
48,əxlaqsız,exlaqsiz,insult,2
49,pozğun,pozgun,insult,2
50,rəzil,rezil,insult,2
51,kütbeyin,kutbeyin,insult,2
52,nadan,nadan,insult,1
53,məxluq,mexluq,insult,1
54,yaltaq,yaltaq,insult,1
55,lənət,lenet,insult,1
56,qaraçı,qaraci,identity_attack,3
57,dığa,diga,identity_attack,3
58,gəbər,geber,threat,2
59,lox,lox,insult,2
60,psix,psix,insult,2
61,amcıq,amciq,obscene,3
62,qancıq,qanciq,obscene,3
63,fahişə,fahise,obscene,3
64,sürtük,surtuk,insult,2
65,yalançı,yalanci,insult,1
66,çirkin,cirkin,insult,1
67,biabır,biabir,insult,2
68,düşüncəsiz,dusuncesiz,insult,1
69,rəddol,redol,insult,1
70,peysər,peyser,obscene,3
71,pox,pox,obscene,2
72,piç,pic,obscene,3
73,puşt,pust,obscene,3
74,ibnə,ibne,obscene,3
75,gavat,gavat,obscene,3
76,kaltaq,kaltaq,obscene,3
77,dalyaraq,dalyaraq,obscene,3
79,götverən,gotveren,obscene,3
80,yarraq,yaraq,obscene,3
82,suka,suka,obscene,3
83,blyad,blyad,obscene,3
84,pidor,pidor,obscene,3
85,mudak,mudak,obscene,3
86,xuy,xuy,obscene,3
87,nahuy,nahuy,obscene,3
88,pizda,pizda,obscene,3
89,dolbayob,dolbayob,obscene,3
90,təcavüz,tecavuz,sexual_explicit,2
91,zorlama,zorlama,sexual_explicit,2
92,əmcək,emcek,sexual_explicit,2
93,eşşoğlu,esoglu,insult,3
94,itoğlu,itoglu,insult,3
95,haramzadə,haramzade,insult,3
96,namussuz,namusuz,insult,3
97,ləyaqətsiz,leyaqetsiz,insult,3
98,biqeyrət,biqeyret,insult,3
99,namərd,namerd,insult,2
100,mərdimazar,merdimazar,insult,2
101,nadürüst,nadurust,insult,2
102,səfeh,sefeh,insult,2
103,sarsaq,sarsaq,insult,2
105,debil,debil,insult,2
106,kretin,kretin,insult,2
107,idiot,idiot,insult,2
108,küt,kut,insult,2
109,abırsız,abirsiz,insult,2
110,həyasız,heyasiz,insult,2
111,arsız,arsiz,insult,2
112,tərbiyəsiz,terbiyesiz,insult,2
113,xain,xain,insult,2
114,satqın,satqin,insult,2
115,yalaq,yalaq,insult,2
116,çuğul,cugul,insult,2
117,düşük,dusuk,insult,2
118,qanmaz,qanmaz,insult,2
119,ağılsız,agilsiz,insult,2
120,psixopat,psixopat,insult,2
121,sadist,sadist,insult,2
122,fırıldaqçı,firildaqci,insult,2
123,dələduz,deleduz,insult,2
124,qudurmuş,qudurmus,insult,2
125,qudurğan,qudurgan,insult,2
126,riyakar,riyakar,insult,2
127,ikiüzlü,ikiuzlu,insult,2
128,xəbis,xebis,insult,2
129,bədniyyət,bedniyet,insult,2
130,şarlatan,sarlatan,insult,2
131,rüsvay,rusvay,insult,2
132,rəzalət,rezalet,insult,2
133,məkrli,mekrli,insult,2
134,cahil,cahil,insult,2
135,hiyləgər,hiyleger,insult,1
136,miskin,miskin,insult,1
137,pinti,pinti,insult,1
138,natəmiz,natemiz,insult,1
139,avara,avara,insult,1
140,tənbəl,tenbel,insult,1
141,lotu,lotu,insult,1
142,qorxaq,qorxaq,insult,1
143,başıboş,basibos,insult,1
144,məsxərə,mesxere,insult,1
145,kobud,kobud,insult,1
146,öküz,okuz,insult,1
147,zırrama,zirama,insult,2
148,cuhud,cuhud,identity_attack,3
149,ermənipərəst,ermeniperest,identity_attack,2
