Word,Variation,Note
sik,skm,vowel-dropped SMS form seen in corpus
sik,sks,vowel-dropped plural form seen in corpus
sik,s1k,leet form kept explicit for auditability
şərəfsiz,werefsiz,ş typed as w - attested in corpus 29 times
şərəfsiz,şrfsz,vowel-dropped form
peşi,pissen,attested vowel-shifted form
eşşək,essey,final k voiced to y - attested
köpək,kopey,final k voiced to y - attested
göt,g0t,leet form kept explicit
boşal,bosalaq,attested optative form
sik,skim,vowel-dropped form - 55 toxic / 0 clean in corpus
sik,sksin,vowel-dropped form attested in corpus
sik,sksinvarsa,vowel-dropped form attested in corpus
narkoman,narkaman,attested vowel variant
rəddol,redol,attested single-d spelling
